model,mean_f1_cv,std_f1_cv
logreg,0.9805295944748366,0.010455379562709855
svc,0.9788204206167593,0.009115322479561231
rf,0.9717648009433312,0.014356406131640171
dtree,0.9319011948418033,0.014434630245039952
